Scenario B (fixed): 400 rounds (max 150.0s), 25 buffers x 20 signals (expected monitored_count to stay at 0), 1.0s between rounds -> /home/vagrant/src/moellep/pyepics-testing/docs/camonitor-cliff/results_B.csv
[diagnostic] CAGET_TEST:SIG0:HST0: chid before disconnect() = c_long(784449264), chid after disconnect() = c_long(784449264) (non-None/non-zero here means the channel is still clearable via epics.ca.clear_channel())
[   52.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  47.30MB server_rss=113.74 latency_p50=
[   53.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  47.30MB server_rss=113.74 latency_p50=26.97
[   55.2s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  47.55MB server_rss=113.75 latency_p50=
[   56.2s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  47.76MB server_rss=113.76 latency_p50=
-- round 15 done (buffer 15) --
[   57.2s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  47.79MB server_rss=113.76 latency_p50=
[   58.2s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  47.98MB server_rss=113.78 latency_p50=
[   59.2s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  48.19MB server_rss=113.78 latency_p50=26.95
-- round 16 done (buffer 16) --
[   60.5s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  48.26MB server_rss=113.79 latency_p50=
[   61.5s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  48.45MB server_rss=113.83 latency_p50=
[   62.5s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  48.68MB server_rss=113.84 latency_p50=
-- round 17 done (buffer 17) --
[   63.5s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  48.77MB server_rss=113.85 latency_p50=
[   64.5s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  48.89MB server_rss=113.85 latency_p50=28.38
[   65.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  49.13MB server_rss=113.86 latency_p50=
-- round 18 done (buffer 18) --
[   66.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  49.24MB server_rss=113.87 latency_p50=
[   67.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  49.34MB server_rss=113.88 latency_p50=
[   68.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  49.55MB server_rss=113.89 latency_p50=
-- round 19 done (buffer 19) --
[   69.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  49.71MB server_rss=113.89 latency_p50=27.25
[   71.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  49.84MB server_rss=113.9 latency_p50=
[   72.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  50.05MB server_rss=113.91 latency_p50=
-- round 20 done (buffer 20) --
[   73.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  50.20MB server_rss=113.91 latency_p50=
[   74.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  50.26MB server_rss=113.92 latency_p50=
[   75.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  50.48MB server_rss=113.93 latency_p50=27.21
-- round 21 done (buffer 21) --
[   76.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  50.67MB server_rss=113.94 latency_p50=
[   77.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  50.72MB server_rss=113.94 latency_p50=
[   78.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  50.93MB server_rss=113.95 latency_p50=
-- round 22 done (buffer 22) --
[   79.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  51.14MB server_rss=113.95 latency_p50=
[   80.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  51.14MB server_rss=113.96 latency_p50=28.19
[   81.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  51.39MB server_rss=113.96 latency_p50=
[   82.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  51.60MB server_rss=113.98 latency_p50=
-- round 23 done (buffer 23) --
[   83.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  51.62MB server_rss=113.98 latency_p50=
[   84.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  51.80MB server_rss=114.0 latency_p50=
[   85.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.02MB server_rss=114.0 latency_p50=26.63
-- round 24 done (buffer 24) --
[   87.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.09MB server_rss=114.0 latency_p50=
-- round 25 done (buffer 0) --
[   88.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.11MB server_rss=114.01 latency_p50=
[   89.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.11MB server_rss=114.01 latency_p50=
-- round 26 done (buffer 1) --
[   90.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.12MB server_rss=114.01 latency_p50=
-- round 27 done (buffer 2) --
[   91.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.12MB server_rss=114.01 latency_p50=28.06
[   92.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.12MB server_rss=114.01 latency_p50=
-- round 28 done (buffer 3) --
[   93.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.12MB server_rss=114.01 latency_p50=
-- round 29 done (buffer 4) --
[   94.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.12MB server_rss=114.01 latency_p50=
[   95.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.13MB server_rss=114.01 latency_p50=
-- round 30 done (buffer 5) --
[   96.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.13MB server_rss=114.01 latency_p50=28.5
-- round 31 done (buffer 6) --
[   97.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.14MB server_rss=114.01 latency_p50=
[   98.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.14MB server_rss=114.01 latency_p50=
-- round 32 done (buffer 7) --
[   99.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.14MB server_rss=114.01 latency_p50=
-- round 33 done (buffer 8) --
[  100.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.14MB server_rss=114.01 latency_p50=
[  101.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.14MB server_rss=114.01 latency_p50=31.18
-- round 34 done (buffer 9) --
[  103.0s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.15MB server_rss=114.01 latency_p50=
[  104.0s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.15MB server_rss=114.01 latency_p50=
-- round 35 done (buffer 10) --
[  105.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.15MB server_rss=114.01 latency_p50=
-- round 36 done (buffer 11) --
[  106.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.15MB server_rss=114.01 latency_p50=
[  107.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=27.32
-- round 37 done (buffer 12) --
[  108.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
-- round 38 done (buffer 13) --
[  109.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
[  110.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
-- round 39 done (buffer 14) --
[  111.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
[  112.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=28.38
-- round 40 done (buffer 15) --
[  113.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
-- round 41 done (buffer 16) --
[  114.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
[  115.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
-- round 42 done (buffer 17) --
[  116.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
-- round 43 done (buffer 18) --
[  117.7s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=27.15
[  119.0s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
-- round 44 done (buffer 19) --
[  120.0s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
-- round 45 done (buffer 20) --
[  121.0s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
[  122.0s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=
-- round 46 done (buffer 21) --
[  123.0s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  52.16MB server_rss=114.01 latency_p50=27.37
-- round 47 done (buffer 22) --
