elapsed_s,channels_touched_so_far,server_mem_rss_mb,client_mem_rss_mb
491.5,2600,1194.95,40.36
492.5,2600,1194.95,40.55
493.5,2620,1195.32,39.93
494.5,2620,1195.32,40.1
495.5,2620,1195.32,40.32
496.5,2620,1195.33,40.53
497.5,2640,1195.34,39.93
498.5,2640,1195.34,40.05
499.5,2640,1195.35,40.29
500.5,2660,1195.36,40.55
501.5,2660,1195.36,39.93
502.5,2660,1195.36,40.12
503.5,2660,1195.37,40.38
504.5,2680,1195.38,39.93
505.5,2680,1195.38,39.93
506.5,2680,1195.39,40.14
507.5,2680,1195.39,40.38
508.5,2700,1195.42,39.91
509.5,2700,1195.42,39.93
510.5,2700,1195.43,40.12
511.5,2700,1195.43,40.36
512.5,2720,1195.44,40.57
513.5,2720,1195.45,40.57
514.5,2720,1195.45,40.57
515.5,2720,1195.45,40.57
516.5,2720,1195.46,40.57
517.5,2740,1195.93,39.93
518.5,2740,1195.93,40.01
519.5,2740,1195.93,40.25
520.5,2740,1195.93,40.46
521.5,2760,1195.94,39.91
522.5,2760,1195.94,39.97
523.5,2760,1195.94,40.23
524.5,2760,1195.95,40.44
525.5,2780,1195.98,40.0
526.5,2780,1195.98,40.01
527.5,2780,1195.98,40.14
528.5,2780,1195.98,40.4
529.5,2800,1196.0,40.57
530.5,2800,1196.02,39.93
531.5,2800,1196.02,40.12
532.6,2800,1196.03,40.36
533.6,2820,1196.03,40.01
534.6,2820,1196.03,40.02
535.6,2820,1196.03,40.12
536.6,2820,1196.04,40.36
537.6,2840,1196.05,40.57
538.6,2840,1196.05,39.93
539.6,2840,1196.06,40.1
540.6,2840,1196.07,40.36
541.6,2860,1196.07,40.57
542.6,2860,1196.07,40.27
543.6,2860,1196.08,40.27
544.6,2860,1196.08,40.36
545.6,2880,1196.09,40.57
546.6,2880,1196.09,40.01
547.6,2880,1196.1,40.14
548.6,2880,1196.1,40.38
549.6,2900,1196.12,40.03
550.6,2900,1196.12,40.03
551.6,2900,1196.12,40.16
552.6,2900,1196.13,40.38
553.6,2920,1196.15,40.61
554.6,2920,1196.15,40.01
555.6,2920,1196.15,40.12
556.6,2920,1196.16,40.36
557.6,2920,1196.16,40.52
558.6,2940,1196.19,40.27
559.6,2940,1196.19,40.27
560.6,2940,1196.2,40.31
561.6,2940,1196.2,40.55
562.6,2960,1196.21,39.93
563.6,2960,1196.21,40.05
564.6,2960,1196.21,40.29
565.6,2960,1196.21,40.5
566.6,2980,1196.23,40.27
567.6,2980,1196.23,40.27
568.6,2980,1196.23,40.29
569.6,2980,1196.24,40.53
570.6,3000,1196.26,40.05
571.6,3000,1197.49,40.1
572.6,3000,1200.35,40.36
573.6,3020,1204.12,40.04
574.6,3020,1204.12,40.05
575.6,3020,1204.12,40.21
576.6,3020,1204.14,40.46
577.6,3040,1204.16,40.6
578.6,3040,1204.16,40.61
579.6,3040,1204.17,40.61
580.6,3040,1204.2,40.61
581.6,3060,1204.38,40.61
582.6,3060,1204.38,40.61
583.6,3060,1204.39,40.61
584.6,3080,1204.42,40.61
585.6,3080,1204.79,40.01
586.6,3080,1204.79,40.12
587.6,3080,1204.79,40.4
588.6,3100,1204.82,39.87
589.6,3100,1204.82,39.93
590.6,3100,1204.82,40.19
591.6,3100,1204.83,40.44
592.6,3120,1204.86,40.58
593.6,3120,1204.86,40.59
594.6,3120,1204.86,40.59
595.6,3140,1204.87,40.59
596.6,3140,1204.87,39.93
597.6,3140,1204.87,40.14
598.6,3140,1204.87,40.4
599.6,3160,1204.9,40.25
600.6,3160,1204.9,40.27
601.6,3160,1204.9,40.27
602.6,3160,1204.91,40.48
603.6,3180,1204.94,39.91
604.6,3180,1204.94,40.01
605.6,3180,1204.94,40.29
606.6,3180,1204.95,40.55
607.6,3200,1204.96,39.88
608.6,3200,1204.96,40.14
609.6,3200,1204.96,40.4
610.6,3220,1204.98,39.91
611.6,3220,1204.98,39.97
612.6,3220,1204.98,40.23
613.6,3220,1204.99,40.44
614.6,3240,1205.0,39.91
615.6,3240,1205.0,40.01
616.6,3240,1205.01,40.27
617.6,3240,1205.02,40.53
618.6,3260,1205.05,40.27
619.6,3260,1205.05,40.27
620.6,3260,1205.05,40.31
621.6,3280,1205.07,40.57
622.6,3280,1205.08,40.01
623.6,3280,1205.08,40.14
624.6,3280,1205.09,40.4
625.6,3300,1205.09,40.0
626.6,3300,1205.09,40.01
627.6,3300,1205.09,40.21
628.6,3300,1205.11,40.48
629.6,3320,1205.12,40.0
630.6,3320,1205.12,40.08
631.6,3320,1205.12,40.31
632.6,3340,1205.13,40.57
633.6,3340,1205.14,39.93
634.6,3340,1205.14,40.14
635.6,3340,1205.15,40.38
636.6,3360,1205.18,40.25
637.6,3360,1205.18,40.27
638.6,3360,1205.19,40.27
639.6,3360,1205.19,40.44
640.6,3380,1205.2,39.91
641.6,3380,1205.2,40.01
642.6,3380,1205.21,40.27
643.6,3380,1205.21,40.48
644.7,3400,1205.27,39.97
645.7,3400,1205.27,40.05
646.7,3400,1205.27,40.27
647.7,3400,1205.27,40.5
648.7,3420,1205.42,39.93
649.7,3420,1205.42,40.08
650.7,3420,1205.42,40.33
651.7,3440,1205.43,40.57
652.7,3440,1205.45,39.93
653.7,3440,1205.45,40.12
654.7,3440,1205.45,40.36
655.7,3460,1205.46,40.57
656.7,3460,1205.63,39.97
657.7,3460,1205.64,40.14
658.7,3460,1205.64,40.38
659.7,3480,1205.66,39.91
660.7,3480,1205.66,39.93
661.7,3480,1205.67,40.18
662.7,3480,1205.68,40.4
663.7,3500,1205.77,40.0
664.7,3500,1205.89,40.01
665.7,3500,1207.86,40.21
666.7,3500,1211.16,40.44
667.7,3520,1213.68,39.96
668.7,3520,1210.68,40.01
669.7,3520,1210.68,40.25
670.7,3520,1212.05,40.48
671.7,3540,1213.84,40.59
672.7,3540,1213.84,40.59
673.7,3540,1213.85,40.59
674.7,3560,1213.88,40.59
675.7,3560,1213.88,40.59
676.7,3560,1213.88,40.59
677.7,3560,1213.89,40.59
678.7,3580,1214.03,39.91
679.7,3580,1214.03,39.99
680.7,3580,1214.03,40.25
681.7,3580,1214.05,40.48
682.7,3600,1214.07,39.97
683.7,3600,1214.07,40.05
684.7,3600,1214.07,40.33
685.7,3620,1214.09,40.57
686.7,3620,1214.1,39.97
687.7,3620,1214.1,40.14
688.7,3620,1214.1,40.4
689.7,3640,1214.2,40.21
690.7,3640,1214.2,40.22
691.7,3640,1214.2,40.22
692.7,3640,1214.2,40.42
693.7,3660,1214.22,39.87
694.7,3660,1214.22,39.97
695.7,3660,1214.23,40.23
696.7,3660,1214.23,40.48
697.7,3680,1214.25,39.93
698.7,3680,1214.25,40.05
699.7,3680,1214.25,40.29
700.7,3680,1214.27,40.53
