elapsed_s,channels_touched_so_far,server_mem_rss_mb,client_mem_rss_mb
787.1,5000,1144.25,45.85
788.2,5000,1144.25,45.85
789.2,5000,1144.25,45.85
790.2,5000,1144.25,45.85
791.2,5000,1144.25,45.85
792.2,5000,1144.25,45.85
793.2,5000,1144.25,45.85
794.2,5000,1144.25,45.85
795.2,5000,1144.25,45.85
796.2,5000,1144.25,45.85
